ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Configuration (Vertical/Chest),Product Description,Defrost Type,Number of Transparent Doors,Number of Solid Doors,Number of Doors,Number of Drawers,Door Opening Orientation (Hinged/Sliding),Total Volume (cu. ft.),Mixed Door Cabinet: Transparent Door Volume (cu. ft.),Mixed Door Cabinet: Solid Door Volume (cu. ft.),Total Display Area (sq. ft.),Height (in.),Width (in.),Depth (in.),Reported Daily Energy Consumption (kWh/day),Refrigerant Type,Refrigerant with GWP,Date Available On Market,Date Certified,Markets,CB Model Identifier
2405058,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR23HC****S*******,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,1,1,0,Hinged,23.1,0,23.1,0,78,27.25,30,1.44,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR23HC****S*******_110720222019237_6208758
2405085,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR27HC****1*******,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,1,1,0,Hinged,25.88,0,25.88,0,78,30,32.5,1.41,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR27HC****1*******_110720222019144_1335508
2405086,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR27HC****G*******,,,Vertical Transparent Door Refrigerator,Vertical,Reach-in,Automatic,1,0,1,0,Hinged,26.17,26.17,0,0,78,30,32.5,2.05,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR27HC****G*******_110720222019734_8434515
2404071,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR35HC-1**G*******,,,Vertical Transparent Door Refrigerator,Vertical,Reach-in,Automatic,2,0,2,0,Hinged,35.55,35.55,0,0,78,39.5,30,2.64,R-290,R-290 (GWP:3 | Lower GWP),09/05/2020,11/03/2022,"United States, Canada",ES_42829_HBR35HC-1**G*******_102020221205708_9105703
2404074,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR35HC-1**S*******,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,35.4,0,35.4,0,78,39.5,30,1.7,R-290,R-290 (GWP:3 | Lower GWP),08/31/2020,11/03/2022,"United States, Canada",ES_42829_HBR35HC-1**S*******_102020221205592_3149986
2405163,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR44HC-1,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,40.2,0,40.2,0,78,47,23.38,1.93,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/30/2022,"United States, Canada",ES_42829_HBR44HC-1_113020221607630_4645799
2405161,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR44HC****1*******,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,40.2,0,40.2,0,78,47,23.38,1.93,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/30/2022,"United States, Canada",ES_42829_HBR44HC-1_112920222141322_6198909
2401013,Beverage-Air Corp.,Beverage-Air,HBR44HC****G*******,HBR44HC****G*******,,,Vertical Transparent Door Refrigerator,Vertical,Reach-in,Automatic,2,0,2,0,Hinged,42.7,42.7,0,0,78,47,32.38,3.11,R-290,R-290 (GWP:3 | Lower GWP),07/29/2022,08/31/2022,"United States, Canada",ES_42829_HBR44HC****G*******_082320221910865_3812933
2405095,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR49HC****1*******,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,46.15,0,46.15,0,78,52,32.38,2.11,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR49HC****1*******_110720222019743_7449473
2405092,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR49HC****G*******,,,Vertical Transparent Door Refrigerator,Vertical,Reach-in,Automatic,2,0,2,0,Hinged,46.15,46.15,0,0,78,52,32.38,3.21,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR49HC****G*******_11072022201976_9788687
2405096,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR72HC****1*******,,,Vertical Solid Door Refrigerator,Vertical,Reach-in,Automatic,0,3,3,0,Hinged,68.93,0,68.93,0,78,75,31.75,2.38,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR72HC****1*******_110720222019830_6086078
2405101,Beverage-Air Corp.,Beverage-Air,Horizon Series,HBR72HC****G*******,,,Vertical Transparent Door Refrigerator,Vertical,Reach-in,Automatic,3,0,3,0,Hinged,68.93,68.93,0,0,78,75,31.75,3.92,R-290,R-290 (GWP:3 | Lower GWP),11/07/2017,11/29/2022,"United States, Canada",ES_42829_HBR72HC****G*******_110720222019179_1266113
2404131,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HF1HC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,1,1,0,Hinged,21.02,0,21.02,0,78.5,26,30,4.59,R-290,R-290 (GWP:3 | Lower GWP),01/01/2020,11/03/2022,"United States, Canada",ES_42829_HF1HC***S********_102020221204584_9321165
2404132,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HF1WHC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,30.37,0,30.37,0,78.5,35,30,5.37,R-290,R-290 (GWP:3 | Lower GWP),04/02/2019,11/03/2022,"United States, Canada",ES_42829_HF1WHC***S********_102020221204884_6962123
2404002,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HF2HC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,45.2,0,45.2,0,78.5,52,30,6.66,R-290,R-290 (GWP:3 | Lower GWP),04/01/2019,11/03/2022,"United States, Canada",ES_42829_HF2HC***S********_10202022120455_2229311
2404126,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HF3HC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,3,3,0,Hinged,69.1,0,69.1,0,78.5,78,30,11.68,R-290,R-290 (GWP:3 | Lower GWP),05/02/2019,11/03/2022,"United States, Canada",ES_42829_HF3HC***S********_102020221204960_2200418
2404108,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HFP1HC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,1,1,0,Hinged,21.02,0,21.02,0,78.5,26,30,4.59,R-290,R-290 (GWP:3 | Lower GWP),01/01/2020,11/03/2022,"United States, Canada",ES_42829_HFP1HC***S********_102020221204774_4207263
2404135,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HFP1WHC***S*******,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,30.37,0,30.37,0,78.5,35,30,5.37,R-290,R-290 (GWP:3 | Lower GWP),04/02/2019,11/03/2022,"United States, Canada",ES_42829_HFP1WHC***S*******_102020221204296_2267341
2403999,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HFP2HC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,2,2,0,Hinged,45.2,0,45.2,0,78.5,52,30,6.66,R-290,R-290 (GWP:3 | Lower GWP),04/01/2019,11/03/2022,"United States, Canada",ES_42829_HFP2HC***S********_102020221204232_5220377
2404127,Beverage-Air Corp.,Beverage-Air,Horizon Series Top Mount Freezer,HFP3HC***S********,,,Vertical Solid Door Freezer,Vertical,Reach-in,Automatic,0,3,3,0,Hinged,69.1,0,69.1,0,78.5,78,30,11.68,R-290,R-290 (GWP:3 | Lower GWP),04/02/2019,11/03/2022,"United States, Canada",ES_42829_HFP3HC***S********_102020221204170_6529980
